Input,Output,model,dataset
29,1,google/flan-t5-base,rotten_tomatoes
42,1,google/flan-t5-base,rotten_tomatoes
30,1,google/flan-t5-base,rotten_tomatoes
26,1,google/flan-t5-base,rotten_tomatoes
35,1,google/flan-t5-base,rotten_tomatoes
18,1,google/flan-t5-base,rotten_tomatoes
12,1,google/flan-t5-base,rotten_tomatoes
38,1,google/flan-t5-base,rotten_tomatoes
21,1,google/flan-t5-base,rotten_tomatoes
22,1,google/flan-t5-base,rotten_tomatoes
26,1,google/flan-t5-base,rotten_tomatoes
22,1,google/flan-t5-base,rotten_tomatoes
13,1,google/flan-t5-base,rotten_tomatoes
16,1,google/flan-t5-base,rotten_tomatoes
28,1,google/flan-t5-base,rotten_tomatoes
19,1,google/flan-t5-base,rotten_tomatoes
37,1,google/flan-t5-base,rotten_tomatoes
34,1,google/flan-t5-base,rotten_tomatoes
29,1,google/flan-t5-base,rotten_tomatoes
24,1,google/flan-t5-base,rotten_tomatoes
26,1,google/flan-t5-base,rotten_tomatoes
39,1,google/flan-t5-base,rotten_tomatoes
52,1,google/flan-t5-base,rotten_tomatoes
26,1,google/flan-t5-base,rotten_tomatoes
18,1,google/flan-t5-base,rotten_tomatoes
23,1,google/flan-t5-base,rotten_tomatoes
21,1,google/flan-t5-base,rotten_tomatoes
39,1,google/flan-t5-base,rotten_tomatoes
39,1,google/flan-t5-base,rotten_tomatoes
36,1,google/flan-t5-base,rotten_tomatoes
43,1,google/flan-t5-base,rotten_tomatoes
34,1,google/flan-t5-base,rotten_tomatoes
36,1,google/flan-t5-base,rotten_tomatoes
36,1,google/flan-t5-base,rotten_tomatoes
29,1,google/flan-t5-base,rotten_tomatoes
26,1,google/flan-t5-base,rotten_tomatoes
44,1,google/flan-t5-base,rotten_tomatoes
20,1,google/flan-t5-base,rotten_tomatoes
20,1,google/flan-t5-base,rotten_tomatoes
22,1,google/flan-t5-base,rotten_tomatoes
21,1,google/flan-t5-base,rotten_tomatoes
44,1,google/flan-t5-base,rotten_tomatoes
35,1,google/flan-t5-base,rotten_tomatoes
18,1,google/flan-t5-base,rotten_tomatoes
56,1,google/flan-t5-base,rotten_tomatoes
13,1,google/flan-t5-base,rotten_tomatoes
52,1,google/flan-t5-base,rotten_tomatoes
50,1,google/flan-t5-base,rotten_tomatoes
45,1,google/flan-t5-base,rotten_tomatoes
37,1,google/flan-t5-base,rotten_tomatoes
25,1,google/flan-t5-base,rotten_tomatoes
26,1,google/flan-t5-base,rotten_tomatoes
27,1,google/flan-t5-base,rotten_tomatoes
25,1,google/flan-t5-base,rotten_tomatoes
25,1,google/flan-t5-base,rotten_tomatoes
30,1,google/flan-t5-base,rotten_tomatoes
39,1,google/flan-t5-base,rotten_tomatoes
28,1,google/flan-t5-base,rotten_tomatoes
17,1,google/flan-t5-base,rotten_tomatoes
32,1,google/flan-t5-base,rotten_tomatoes
35,1,google/flan-t5-base,rotten_tomatoes
41,1,google/flan-t5-base,rotten_tomatoes
27,1,google/flan-t5-base,rotten_tomatoes
26,1,google/flan-t5-base,rotten_tomatoes
23,1,google/flan-t5-base,rotten_tomatoes
27,1,google/flan-t5-base,rotten_tomatoes
21,1,google/flan-t5-base,rotten_tomatoes
34,1,google/flan-t5-base,rotten_tomatoes
18,1,google/flan-t5-base,rotten_tomatoes
25,1,google/flan-t5-base,rotten_tomatoes
30,1,google/flan-t5-base,rotten_tomatoes
30,1,google/flan-t5-base,rotten_tomatoes
54,1,google/flan-t5-base,rotten_tomatoes
30,1,google/flan-t5-base,rotten_tomatoes
30,1,google/flan-t5-base,rotten_tomatoes
21,1,google/flan-t5-base,rotten_tomatoes
37,1,google/flan-t5-base,rotten_tomatoes
34,1,google/flan-t5-base,rotten_tomatoes
43,1,google/flan-t5-base,rotten_tomatoes
39,1,google/flan-t5-base,rotten_tomatoes
34,1,google/flan-t5-base,rotten_tomatoes
31,1,google/flan-t5-base,rotten_tomatoes
29,1,google/flan-t5-base,rotten_tomatoes
46,1,google/flan-t5-base,rotten_tomatoes
17,1,google/flan-t5-base,rotten_tomatoes
26,1,google/flan-t5-base,rotten_tomatoes
42,1,google/flan-t5-base,rotten_tomatoes
21,1,google/flan-t5-base,rotten_tomatoes
27,1,google/flan-t5-base,rotten_tomatoes
37,1,google/flan-t5-base,rotten_tomatoes
22,1,google/flan-t5-base,rotten_tomatoes
26,1,google/flan-t5-base,rotten_tomatoes
35,1,google/flan-t5-base,rotten_tomatoes
13,1,google/flan-t5-base,rotten_tomatoes
37,1,google/flan-t5-base,rotten_tomatoes
17,1,google/flan-t5-base,rotten_tomatoes
35,1,google/flan-t5-base,rotten_tomatoes
31,1,google/flan-t5-base,rotten_tomatoes
30,1,google/flan-t5-base,rotten_tomatoes
32,1,google/flan-t5-base,rotten_tomatoes
26,1,google/flan-t5-base,rotten_tomatoes
26,1,google/flan-t5-base,rotten_tomatoes
30,1,google/flan-t5-base,rotten_tomatoes
24,1,google/flan-t5-base,rotten_tomatoes
38,1,google/flan-t5-base,rotten_tomatoes
26,1,google/flan-t5-base,rotten_tomatoes
37,1,google/flan-t5-base,rotten_tomatoes
37,1,google/flan-t5-base,rotten_tomatoes
29,1,google/flan-t5-base,rotten_tomatoes
15,1,google/flan-t5-base,rotten_tomatoes
40,1,google/flan-t5-base,rotten_tomatoes
14,1,google/flan-t5-base,rotten_tomatoes
21,1,google/flan-t5-base,rotten_tomatoes
18,1,google/flan-t5-base,rotten_tomatoes
32,1,google/flan-t5-base,rotten_tomatoes
32,1,google/flan-t5-base,rotten_tomatoes
22,1,google/flan-t5-base,rotten_tomatoes
19,1,google/flan-t5-base,rotten_tomatoes
34,1,google/flan-t5-base,rotten_tomatoes
27,1,google/flan-t5-base,rotten_tomatoes
43,1,google/flan-t5-base,rotten_tomatoes
30,1,google/flan-t5-base,rotten_tomatoes
42,1,google/flan-t5-base,rotten_tomatoes
36,1,google/flan-t5-base,rotten_tomatoes
49,1,google/flan-t5-base,rotten_tomatoes
24,1,google/flan-t5-base,rotten_tomatoes
13,1,google/flan-t5-base,rotten_tomatoes
21,1,google/flan-t5-base,rotten_tomatoes
38,1,google/flan-t5-base,rotten_tomatoes
47,1,google/flan-t5-base,rotten_tomatoes
20,1,google/flan-t5-base,rotten_tomatoes
29,1,google/flan-t5-base,rotten_tomatoes
44,1,google/flan-t5-base,rotten_tomatoes
46,1,google/flan-t5-base,rotten_tomatoes
25,1,google/flan-t5-base,rotten_tomatoes
42,1,google/flan-t5-base,rotten_tomatoes
38,1,google/flan-t5-base,rotten_tomatoes
33,1,google/flan-t5-base,rotten_tomatoes
35,1,google/flan-t5-base,rotten_tomatoes
24,1,google/flan-t5-base,rotten_tomatoes
34,1,google/flan-t5-base,rotten_tomatoes
14,1,google/flan-t5-base,rotten_tomatoes
29,1,google/flan-t5-base,rotten_tomatoes
31,1,google/flan-t5-base,rotten_tomatoes
27,1,google/flan-t5-base,rotten_tomatoes
17,1,google/flan-t5-base,rotten_tomatoes
29,1,google/flan-t5-base,rotten_tomatoes
28,1,google/flan-t5-base,rotten_tomatoes
31,1,google/flan-t5-base,rotten_tomatoes
45,1,google/flan-t5-base,rotten_tomatoes
30,1,google/flan-t5-base,rotten_tomatoes
38,1,google/flan-t5-base,rotten_tomatoes
38,1,google/flan-t5-base,rotten_tomatoes
44,1,google/flan-t5-base,rotten_tomatoes
20,1,google/flan-t5-base,rotten_tomatoes
33,1,google/flan-t5-base,rotten_tomatoes
38,1,google/flan-t5-base,rotten_tomatoes
37,1,google/flan-t5-base,rotten_tomatoes
42,1,google/flan-t5-base,rotten_tomatoes
34,1,google/flan-t5-base,rotten_tomatoes
44,1,google/flan-t5-base,rotten_tomatoes
34,1,google/flan-t5-base,rotten_tomatoes
35,1,google/flan-t5-base,rotten_tomatoes
56,1,google/flan-t5-base,rotten_tomatoes
16,1,google/flan-t5-base,rotten_tomatoes
28,1,google/flan-t5-base,rotten_tomatoes
31,1,google/flan-t5-base,rotten_tomatoes
39,1,google/flan-t5-base,rotten_tomatoes
35,1,google/flan-t5-base,rotten_tomatoes
30,1,google/flan-t5-base,rotten_tomatoes
27,1,google/flan-t5-base,rotten_tomatoes
27,1,google/flan-t5-base,rotten_tomatoes
21,1,google/flan-t5-base,rotten_tomatoes
32,1,google/flan-t5-base,rotten_tomatoes
41,1,google/flan-t5-base,rotten_tomatoes
43,1,google/flan-t5-base,rotten_tomatoes
37,1,google/flan-t5-base,rotten_tomatoes
16,1,google/flan-t5-base,rotten_tomatoes
25,1,google/flan-t5-base,rotten_tomatoes
36,1,google/flan-t5-base,rotten_tomatoes
27,1,google/flan-t5-base,rotten_tomatoes
31,1,google/flan-t5-base,rotten_tomatoes
20,1,google/flan-t5-base,rotten_tomatoes
35,1,google/flan-t5-base,rotten_tomatoes
53,1,google/flan-t5-base,rotten_tomatoes
26,1,google/flan-t5-base,rotten_tomatoes
38,1,google/flan-t5-base,rotten_tomatoes
42,1,google/flan-t5-base,rotten_tomatoes
56,1,google/flan-t5-base,rotten_tomatoes
29,1,google/flan-t5-base,rotten_tomatoes
25,1,google/flan-t5-base,rotten_tomatoes
27,1,google/flan-t5-base,rotten_tomatoes
35,1,google/flan-t5-base,rotten_tomatoes
27,1,google/flan-t5-base,rotten_tomatoes
34,1,google/flan-t5-base,rotten_tomatoes
24,1,google/flan-t5-base,rotten_tomatoes
35,1,google/flan-t5-base,rotten_tomatoes
25,1,google/flan-t5-base,rotten_tomatoes
25,1,google/flan-t5-base,rotten_tomatoes
36,1,google/flan-t5-base,rotten_tomatoes
52,1,google/flan-t5-base,rotten_tomatoes
29,1,google/flan-t5-base,rotten_tomatoes
31,1,google/flan-t5-base,rotten_tomatoes
32,1,google/flan-t5-base,rotten_tomatoes
39,1,google/flan-t5-base,rotten_tomatoes
30,1,google/flan-t5-base,rotten_tomatoes
17,1,google/flan-t5-base,rotten_tomatoes
55,1,google/flan-t5-base,rotten_tomatoes
43,1,google/flan-t5-base,rotten_tomatoes
20,1,google/flan-t5-base,rotten_tomatoes
22,1,google/flan-t5-base,rotten_tomatoes
37,1,google/flan-t5-base,rotten_tomatoes
24,1,google/flan-t5-base,rotten_tomatoes
34,1,google/flan-t5-base,rotten_tomatoes
24,1,google/flan-t5-base,rotten_tomatoes
27,1,google/flan-t5-base,rotten_tomatoes
31,1,google/flan-t5-base,rotten_tomatoes
38,1,google/flan-t5-base,rotten_tomatoes
