Input,Output,model,dataset
54,13,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
49,12,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,18,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,6,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,7,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,6,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,8,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,18,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,5,google/flan-t5-base,xsum
54,7,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
48,17,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,7,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,5,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,1,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,18,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,6,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,2,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,8,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,4,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,4,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,8,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,4,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,3,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,6,google/flan-t5-base,xsum
54,7,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,4,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,8,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,2,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,2,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,2,google/flan-t5-base,xsum
54,2,google/flan-t5-base,xsum
54,4,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,1,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,8,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,8,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,8,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,8,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,8,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,18,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,2,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,18,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,2,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
42,18,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,19,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,4,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,6,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,18,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,18,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,1,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,3,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,6,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,18,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,6,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,5,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,8,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,18,google/flan-t5-base,xsum
54,19,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,8,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,3,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,5,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,18,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,10,google/flan-t5-base,xsum
54,14,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,8,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,16,google/flan-t5-base,xsum
54,9,google/flan-t5-base,xsum
54,7,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,17,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,12,google/flan-t5-base,xsum
54,11,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,15,google/flan-t5-base,xsum
54,13,google/flan-t5-base,xsum
